Year,Facility,Attendance
2003,Schoharie Crossing,63430
2003,Allegany Quaker Area,666515
2003,Silver Lake,27428
2003,Lake Erie St Pk,146490
2003,Riverbank Fitness Cntr,30848
2003,Caumsett St Pk,318412
2003,Durand Eastman,0
2003,Jones Beach,5851724
2003,Grass Pnt River Park,31902
2003,Chaumont Boat Launch,19606
2003,Moreau Lake St Pk,277521
2003,Senate House,15326
2003,Appalachian Trail,0
2003,Whetstone Gulf,112686
2003,Clarence Fahnestock,158102
2003,Schuyler Mansion,4206
2003,Chimney Bluffs,35184
2003,Keuka Lake St Pk,114731
2003,Soaring Eagles Golf Course,55800
2003,Knox Headquarters,15635
2003,Harriman Hiker Trail,24424
2003,Fillmore Glen St Pk,100982
2003,Pixley Falls State Park,40411
2003,Captree St Pk,2001188
2003,Point Au Roche,87977
2003,Point Au Roche Boat Lau,10696
2003,Harriman Group Camp,319970
2003,Chittengo Lndg,4362
2003,Reservoir St Pk,86707
2003,Cedar Island River Park,2799
2003,Wildwood State Park,334322
2003,Schunnemunk State Park,417
2003,Seneca Lake St Pk,184428
2003,Harriman Beaver Pond,67376
2003,F D Roosevelt,579053
2003,Planting Fields A,146133
2003,Kring Point,53450
2003,Eel Weir St Park,4788
2003,Nissequogue River,39769
2003,Wilson Hill Boat Launch,15289
2003,Chittenango Fls St Pk,43945
2003,Keewaydin St Park,61412
2003,Whirlpool,298830
2003,National Purple Heart Hall Of Honor,0
2003,Joseph Davis St Pk,28691
2003,Shadmore,0
2003,Heckscher St Park,841542
2003,Cedar Pnt River Park,54952
2003,Cayuga Lake St Pk,146702
2003,Empire Fulton Ferry,120123
2003,Hamlin Beach State Park,266910
2003,Anthony Wayne,1279072
2003,Grants Cottage,0
2003,Lakeside Beach St Pk,80831
2003,Nyack Beach St Pk,289976
2003,Grafton Lakes St Pk,154490
2003,Johnson Hall,60041
2003,Canoe-Picnic Pnt River,8835
2003,Dewolf Point,8198
2003,Niagara Reservation,7390268
2003,Fair Haven St Pk,261059
2003,Haverstraw Beach,0
2003,Chenango Valley St Pk,230349
2003,Athens,0
2003,Oak Orchard Boat Launch,11961
2003,Goosepond Mountain,0
2003,Green Lakes State Park,788159
2003,Springbrook Greens,0
2003,Canadarago Boat Lnch,29158
2003,Evangola St Pk,97345
2003,Saratoga Springs,998149
2003,New Windsor Cantonment,17147
2003,Finger Lakes Admin.,1
2003,Sebago Lake,97738
2003,Lake Superior,0
2003,John Jay Homestead,68359
2003,Cherry Plain St Pk,18814
2003,Great Chazy Boat Launch,24388
2003,Wellesley Island St Pk,203955
2003,Riverbank Rollr-Ice Rnks,229156
2003,Allegany Red House Area,754291
2003,Selkirk Shores,166455
2003,Schodack Island,30995
2003,Artpark,89223
2003,Wilson Tuscarora St Pk,191841
2003,Newtown Battlefield,20
2003,Westcott Beach St Pk,108888
2003,Allan Treman Marina,145622
2003,Southwick Beach St Pk,86761
2003,Clark Reservation,51770
2003,Montauk Point,900480
2004,Sunken Meadow St Pk,1695351
2004,Thompson Lake St Pk,48304
2004,Connetquot River St Pk,281686
2004,Mary Island River Park,4200
2004,New Windsor Cantonment,17199
2004,Hook Mountain,0
2004,National Purple Heart Hall Of Honor,0
2004,Chaumont Boat Launch,18336
2004,Crailo,7046
2004,Hither Hills,357026
2004,Seneca Lake St Pk,188984
2004,Chimney Bluffs,35737
2004,Sebago Lake,94028
2004,Brentwood Sp,107838
2004,Schunnemunk State Park,5916
2004,Marsha P. Johnson State Park (former East River State Park until 2020),0
2004,Newtown Battlefield,0
2004,Great Chazy Boat Launch,25016
2004,Oriskany Battlefield,12925
2004,Bonavista Golf Course,14076
2004,Schuyler Mansion,4400
2004,Taughannock Falls St Pk,313615
2004,Genesee River Park,0
2004,Green Lakes State Park,827467
2004,Grass Pnt River Park,33809
2004,Senate House,15178
2004,Bowman Lake St Pk,41218
2004,Hudson Highlands,127460
2004,Copake Falls,172445
2004,Honeoye Bt Lau,31572
2004,Selkirk Shores,150380
2004,Rudd Pond,16746
2004,Coxsackie,0
2004,Rockland Lake State Park,1759534
2004,Hamlin Beach State Park,240568
2004,Chenango Valley St Pk,214121
2004,Braddock Bay,0
2004,Orient Beach St Pk,78875
2004,Blauvelt,0
2004,Macomb Reservation,30013
2004,Cherry Plain St Pk,16571
2004,Tallman Mountain St Pk,333853
2004,Cedar Pnt River Park,54019
2004,Taconic Outdoor Education Center,21851
2004,Chittenango Fls St Pk,46834
2004,Niagara Reservation,7779887
2004,Montauk Downs,230263
2004,Genesee Valley Greenway,0
2004,Caleb Smith State Park,33849
2004,Herkimer Home,25377
2004,Steuben Memorial,2101
2004,Southwick Beach St Pk,83828
2004,Clark Reservation,51668
2004,Minekill,60585
2004,Clinton House,1712
2004,Saratoga Lake Boat Lnch,63320
2004,Schodack Island,31971
2004,Grafton Lakes St Pk,159268
2004,Old Croton Aqueduct,832026
2004,Sandy Island Beach,15185
2004,St Lawrence Golf Course,31271
2004,Captree St Pk,1456140
2004,H H Spencer,8514
2004,Mills Norrie St Pk,251855
2004,Buttermilk Falls St Pk,148914
2004,Harriman Hiker Trail,27100
2004,Canoe-Picnic Pnt River,13709
2004,Sterling Forest,83661
2004,Clay Pit Ponds,38379
2004,Staatsburgh Shs,21186
2004,Canadaigua Btlau Ontrio,39674
2004,Heckscher St Park,855230
2004,Goosepond Mountain,3
2004,Saratoga Springs,942524
2004,Olana,105392
2004,Haverstraw Beach,0
2004,Canadarago Boat Lnch,28639
2004,Golden Hill St Pk,237098
2004,Springbrook Greens,0
2004,Camp Hero,135274
2004,Oak Orchard Boat Launch,10629
2004,Montauk Point,895650
2004,Minnewaska Park,343988
2004,Clermont,74622
2004,Hempstead Lake St Pk,310059
2004,Burnham Pnt River Park,12731
2004,Soaring Eagles Golf Course,66213
2004,Glimmerglass State Park,76524
2004,Chittengo Lndg,4761
2004,Napeague State Park,184650
2004,Stony Point Battlefield,25988
2004,Mexico Point Boat Launch,28512
2004,Brookhaven State Park,4695
2004,Shadmore,118935
2004,Sag Harbour,33845
2004,Gilbert Lake St Pk,84811
2004,Higley Flow St Park,27453
2004,Storm King,0
2004,Bristol Beach,20116
2004,Oquaga State Park,30526
2004,Harriman Beaver Pond,75202
2004,Nissequogue River,29453
2004,Cedar Island River Park,2633
2004,Max V Shaul Campsite,6811
2004,Conesus Lake Boat Launch,17643
2004,Cayuga Lake St Pk,150499
2004,High Tor St Pk,51437
2004,Grants Cottage,44
2004,Cold Spring Harbor,46611
2004,Clarence Fahnestock,163330
2004,Stony Brook St Pk,98645
2004,Moreau Lake St Pk,275587
2004,Sampson St Pk,182469
2004,Highland Lakes,4
2004,Nyack Beach St Pk,229369
2004,Buffalo Harbor St Pk & Marina,0
2004,Caumsett St Pk,307661
2004,Midway State Park,0
2004,Old Erie Canal,100511
2004,Stony Creek,16102
2004,Silver Lake,27492
2004,Schoharie Crossing,84237
2004,Buckhorn,31896
2004,Coles Creek,116210
2004,Harriman Group Camp,339197
2004,Sackets Harbor Btl Field,101167
2004,Black River Trail,14342
2004,Gantry Plaza,117614
2004,Hudson River Islands,0
2004,Appalachian Trail,0
2004,Philipse Manor,25209
2004,Whetstone Gulf,85343
2004,Robert Moses St Pk - Thousand Islands,248589
2004,Jones Beach,5624676
2004,Walkway Over The Hudson,0
2004,Long Point Marina,173181
2004,Belmont Lakes St Pk,308319
2004,Lakeside Beach St Pk,76289
2004,Pixley Falls State Park,36372
2004,Four  Mile Creek,43974
2004,James Baird,448586
2004,Lodi Point Marina/Boat,20363
2004,Artpark,105127
2004,Fillmore Glen St Pk,103980
2004,Westcott Beach St Pk,101580
2004,Jacques Cartier St Pk,28094
2004,Darien Lakes State Park,54429
2004,F D Roosevelt,621783
2004,Valley Stream St Pk,162575
2004,Eel Weir St Park,5925
2004,Bethpage Golf Course,908302
2004,Irondquoit Bay Boat Lnch,0
2004,Joseph Davis St Pk,24760
2004,Fort Montgomery,4681
2004,Roberto Clemente,743412
2004,Anthony Wayne,1365494
2004,Whirlpool,262210
2004,Verona Beach State Park,150938
2004,Bennington Battlefield,18990
2004,Riverbank Fitness Cntr,32787
2004,Lake Erie St Pk,150104
2004,Planting Fields A,170767
2004,Beechwood,14546
2004,Riverbank Rollr-Ice Rnks,261934
2004,Deans Cove Boat Launch,20712
2004,Riverbank State Park,1610082
2004,Battle Isl Golf Course,38807
2004,Wehle State Park,16705
2004,John Brown Farm,71435
2004,Robert H Treman St Pk,149808
2004,Devils Hole,145065
2004,Fort Ontario,139007
2004,Waterson Point Docking,478
2004,Pinnacle Golf,28055
2004,Bayswater Point St Pk,9886
2004,Lake Taghkanic St Park,147096
2004,Bayard C. A.,125907
2004,John Burroughs Memorial,0
2004,Watkins Glen St Pk,386316
2004,Lake Welch,186750
2004,Bear Mountain St Pk,1381240
2004,Delta Lake St Pk,113826
2004,Washington Headquarters,17914
2004,Johnson Hall,65737
2004,Deaveaux Woods,26416
2004,Dewolf Point,8942
2004,Walt Whitman House,16654
2004,Robert Moses St Pk - Long Island,3463082
2004,Athens,0
2004,John Boyd Thacher Pk,307443
2004,Beaver Island,262568
2004,Woodlawn Beach,151359
2004,Wellesley Island St Pk,197165
2004,Letchworth State Park,669110
2004,Finger Lakes Admin.,0
2004,Pine Grove Boatlaunch,0
2004,Lake Superior,0
2004,John Jay Homestead,60721
2004,Wildwood State Park,260414
2004,Ft Niagara,424577
2004,Durand Eastman,0
2004,Long Point River Park,23296
2004,Trailview,35577
2004,Kring Point,54612
2004,Empire Fulton Ferry,196669
2004,Knox Headquarters,14933
2004,Indian Hills Golf Course,0
2004,Wilson Hill Boat Launch,13788
2004,Ganondagan,30534
2004,Black Lk Boat Launch,22936
2004,Fair Haven St Pk,252124
2004,Rockefeller Preserve,277812
2004,Allegany Quaker Area,719567
2004,Palisades,0
2004,Allan Treman Marina,132838
2004,Big 6 Marina,28515
2004,Hunts Pond State Park,6248
2004,Long Point St Pk,22341
2004,Wilson Tuscarora St Pk,175385
2004,Tiorati,267817
2004,Cumberland Bay St Pk,51153
2004,Crown Point,47224
2004,Point Au Roche,85967
2004,Evangola St Pk,94167
2004,Point Au Roche Boat Lau,14279
2004,Keuka Lake St Pk,82578
2004,Lorenzo,44303
2004,Keewaydin St Park,60564
2004,Betty And Wilbur Davis State Park,0
2004,Reservoir St Pk,81609
2004,Knox Farm Sp,49425
2004,Thousand Island Admin.,0
2004,Rock Island,4072
2004,Peebles Island,52125
2004,Allegany Red House Area,761212
2005,Chimney Bluffs,54024
2005,Finger Lakes Admin.,0
2005,Hempstead Lake St Pk,327416
2005,Allan Treman Marina,162478
2005,Canadarago Boat Lnch,31280
2005,New Windsor Cantonment,15484
2005,Lake Superior,18540
2005,Point Au Roche Boat Lau,15100
2005,Wellesley Island St Pk,175272
2005,Springbrook Greens,0
2005,Minnewaska Park,324944
2005,John Burroughs Memorial,4
2005,Woodlawn Beach,169049
2005,Wilson Tuscarora St Pk,236382
2005,Oak Orchard Boat Launch,9562
2005,Montauk Point,901341
2005,Watkins Glen St Pk,392931
2005,Athens,0
2005,Fort Montgomery,5553
2005,Dewolf Point,8384
2005,Clermont,88395
2005,Goosepond Mountain,940
2005,Bayard C. A.,123115
2005,Heckscher St Park,830409
2005,Wehle State Park,20113
2005,Great Chazy Boat Launch,29979
2005,Olana,108435
2005,Knox Farm Sp,58517
2005,Saratoga Springs,890941
2005,Niagara Reservation,7762999
2005,Selkirk Shores,151983
2005,Canadaigua Btlau Ontrio,42478
2005,Battle Isl Golf Course,38964
2005,Evangola St Pk,103694
2005,Camp Hero,131990
2005,Chenango Valley St Pk,213353
2005,Staatsburgh Shs,19143
2005,Knox Headquarters,18234
2005,Green Lakes State Park,808147
2005,Clay Pit Ponds,42126
2005,Montauk Downs,224995
2005,John Jay Homestead,50143
2005,Sebago Lake,114032
2005,Sterling Forest,113856
2005,Fair Haven St Pk,278905
2005,Devils Hole,153845
2005,Lake Taghkanic St Park,172000
2005,Riverbank State Park,1712563
2005,Riverbank Rollr-Ice Rnks,286136
2005,Haverstraw Beach,43580
2005,Nyack Beach St Pk,272254
2005,Chittenango Fls St Pk,41747
2005,Schoharie Crossing,79452
2005,Kring Point,54609
2005,National Purple Heart Hall Of Honor,0
2005,Silver Lake,32155
2005,Riverbank Fitness Cntr,39969
2005,Planting Fields A,167514
2005,Harriman Group Camp,250381
2005,Grants Cottage,2318
2005,Whirlpool,268625
2005,Cayuga Lake St Pk,133516
2005,Seneca Lake St Pk,187520
2005,Cedar Pnt River Park,68438
2005,Anthony Wayne,1384785
2005,Napeague State Park,175150
2005,Joseph Davis St Pk,21007
2005,Nissequogue River,32438
2005,Lake Erie St Pk,128101
2005,Shadmore,104215
2005,Chittengo Lndg,392
2005,Eel Weir St Park,9415
2005,Allegany Red House Area,755990
2005,Schunnemunk State Park,19039
2005,Harriman Beaver Pond,70217
2005,Wildwood State Park,278550
2005,Cedar Island River Park,1940
2005,F D Roosevelt,622720
2005,Keewaydin St Park,60418
2005,Empire Fulton Ferry,239215
2005,Caumsett St Pk,262707
2005,Durand Eastman,37100
2005,Schodack Island,34081
2005,Canoe-Picnic Pnt River,7783
2005,Johnson Hall,59384
2005,Point Au Roche,94696
2005,Chaumont Boat Launch,25893
2005,Westcott Beach St Pk,118624
2005,Southwick Beach St Pk,96435
2005,Clark Reservation,50642
2005,Schuyler Mansion,3635
2005,Artpark,108073
2005,Newtown Battlefield,18559
2005,Grafton Lakes St Pk,169876
2005,Moreau Lake St Pk,338109
2005,Allegany Quaker Area,703380
2005,Pixley Falls State Park,32495
2005,Senate House,13029
2005,Captree St Pk,1336222
2005,Lakeside Beach St Pk,70872
2005,Jones Beach,6393868
2005,Reservoir St Pk,90356
2005,Grass Pnt River Park,38629
2005,Fillmore Glen St Pk,106199
2005,Hamlin Beach State Park,259153
2005,Soaring Eagles Golf Course,43247
2005,Harriman Hiker Trail,29847
2005,Whetstone Gulf,82856
2005,Clarence Fahnestock,199975
2005,Wilson Hill Boat Launch,12835
2005,Appalachian Trail,3596
2005,Keuka Lake St Pk,85575
2005,Pinnacle Golf,35126
2005,Caleb Smith State Park,32942
2005,Cherry Plain St Pk,26685
2005,Jacques Cartier St Pk,32105
2005,Storm King,2293
2005,Long Point Marina,158774
2005,Long Point St Pk,35184
2005,Conesus Lake Boat Launch,20304
2005,Philipse Manor,24488
2005,Higley Flow St Park,32462
2005,Palisades,3682
2005,Big 6 Marina,41506
2005,Marsha P. Johnson State Park (former East River State Park until 2020),0
2005,Sag Harbour,32968
2005,Walkway Over The Hudson,0
2005,Brookhaven State Park,4376
2005,Mexico Point Boat Launch,22833
2005,Belmont Lakes St Pk,387058
2005,Robert Moses St Pk - Thousand Islands,234635
2005,Stony Point Battlefield,27364
2005,Gilbert Lake St Pk,90337
2005,Four  Mile Creek,50211
2005,James Baird,322801
2005,Tiorati,266906
2005,High Tor St Pk,67054
2005,Bonavista Golf Course,17101
2005,Coxsackie,0
2005,Genesee River Park,578
2005,Buckhorn,31095
2005,Walt Whitman House,16745
2005,Coles Creek,95560
2005,Crown Point,37901
2005,Hook Mountain,62177
2005,Saratoga Lake Boat Lnch,78591
2005,Indian Hills Golf Course,0
2005,Bristol Beach,19282
2005,Betty And Wilbur Davis State Park,6592
2005,Peebles Island,66584
2005,Honeoye Bt Lau,29129
2005,Cumberland Bay St Pk,51057
2005,Braddock Bay,29371
2005,Taconic Outdoor Education Center,23699
2005,Orient Beach St Pk,78619
2005,Copake Falls,189061
2005,Valley Stream St Pk,171317
2005,Irondquoit Bay Boat Lnch,37536
2005,Connetquot River St Pk,258940
2005,Tallman Mountain St Pk,321519
2005,Bethpage Golf Course,864997
2005,Ft Niagara,357120
2005,Beechwood,9935
2005,Trailview,42380
2005,Long Point River Park,22246
2005,Roberto Clemente,1400167
2005,Bowman Lake St Pk,44241
2005,Sunken Meadow St Pk,2111860
2005,Sackets Harbor Btl Field,90923
2005,Hither Hills,360880
2005,Rockefeller Preserve,272406
2005,Rudd Pond,18678
2005,Genesee Valley Greenway,7396
2005,Darien Lakes State Park,61555
2005,Max V Shaul Campsite,4769
2005,Verona Beach State Park,160967
2005,Bennington Battlefield,19411
2005,Oquaga State Park,33005
2005,Brentwood Sp,106626
2005,Lodi Point Marina/Boat,26035
2005,Deans Cove Boat Launch,15519
2005,Old Erie Canal,89422
2005,Delta Lake St Pk,156397
2005,Bear Mountain St Pk,1252938
2005,Stony Creek,23364
2005,Fort Ontario,167772
2005,H H Spencer,7295
2005,Rock Island,3620
2005,Sandy Island Beach,32562
2005,Macomb Reservation,39410
2005,John Brown Farm,90727
2005,Buttermilk Falls St Pk,151387
2005,Waterson Point Docking,820
2005,Old Croton Aqueduct,817245
2005,Oriskany Battlefield,18869
2005,Mills Norrie St Pk,253501
2005,Minekill,62736
2005,Bayswater Point St Pk,3284
2005,Steuben Memorial,6167
2005,Lorenzo,43808
2005,Thompson Lake St Pk,48334
2005,Thousand Island Admin.,1
2005,Deveaux Woods,28371
2005,Herkimer Home,27811
2005,Clinton House,1414
2005,Crailo,5795
2005,Black River Trail,32494
2005,Robert H Treman St Pk,162965
2005,Hudson River Islands,0
2005,Golden Hill St Pk,257111
2005,Lake Welch,289928
2005,Rockland Lake State Park,2040648
2005,St Lawrence Golf Course,37015
2005,Mary Island River Park,3369
2005,Hudson Highlands,162511
2005,Highland Lakes,1371
2005,Burnham Pnt River Park,14143
2005,Beaver Island,316220
2005,Buffalo Harbor St Pk & Marina,0
2005,Pine Grove Boatlaunch,0
2005,Stony Brook St Pk,99904
2005,Sampson St Pk,188434
2005,Robert Moses St Pk - Long Island,3445865
2005,Hunts Pond State Park,7335
2005,Taughannock Falls St Pk,389251
2005,Letchworth State Park,640797
2005,Ganondagan,27431
2005,Washington Headquarters,19423
2005,Glimmerglass State Park,95246
2005,Blauvelt,10884
2005,Cold Spring Harbor,59493
2005,Gantry Plaza,102320
2005,John Boyd Thacher Pk,288523
2005,Midway State Park,0
2005,Black Lk Boat Launch,16724
2006,Empire Fulton Ferry,143740
2006,Genesee River Park,851
2006,Crown Point,15778
2006,Copake Falls,186028
2006,Crailo,6758
2006,Chimney Bluffs,66686
2006,Point Au Roche Boat Lau,12453
2006,Coxsackie,66737
2006,Fair Haven St Pk,287452
2006,Palisades,5622
2006,Evangola St Pk,108716
2006,Rock Island,2999
2006,Rockland Lake State Park,1145210
2006,Reservoir St Pk,79830
2006,Schuyler Mansion,6014
2006,Grass Pnt River Park,35098
2006,Chittenango Fls St Pk,41117
2006,Rudd Pond,16946
2006,Gantry Plaza,102275
2006,Nissequogue River,38394
2006,Ganondagan,28358
2006,Oriskany Battlefield,24209
2006,Point Au Roche,70363
2006,Rockefeller Preserve,293151
2006,Great Chazy Boat Launch,23117
2006,Sebago Lake,221579
2006,Saratoga Lake Boat Lnch,99450
2006,F D Roosevelt,544148
2006,Four  Mile Creek,53070
2006,Sampson St Pk,172884
2006,Oak Orchard Boat Launch,10439
2006,Dewolf Point,7461
2006,Finger Lakes Admin.,0
2006,Pine Grove Boatlaunch,0
2006,Cold Spring Harbor,87324
2006,Glimmerglass State Park,96429
2006,Goosepond Mountain,1720
2006,Clay Pit Ponds,52911
2006,Delta Lake St Pk,153607
2006,Pixley Falls State Park,19066
2006,Riverbank State Park,1758524
2006,Robert Moses St Pk - Long Island,3494423
2006,Sandy Island Beach,25795
2006,Fort Ontario,113830
2006,Saratoga Springs,1544905
2006,Olana,95514
2006,Old Croton Aqueduct,878454
2006,Devils Hole,144114
2006,Fort Montgomery,6442
2006,Pinnacle Golf,27492
2006,Deveaux Woods,27517
2006,Clermont,108010
2006,Clinton House,1767
2006,Robert H Treman St Pk,155289
2006,Golden Hill St Pk,258704
2006,Schodack Island,49510
2006,Peebles Island,78229
2006,Old Erie Canal,101441
2006,Clark Reservation,46762
2006,Cumberland Bay St Pk,43906
2006,Schunnemunk State Park,24313
2006,Orient Beach St Pk,73175
2006,Sackets Harbor Btl Field,91099
2006,Chittengo Lndg,0
2006,Connetquot River St Pk,247810
2006,Genesee Valley Greenway,12432
2006,Eel Weir St Park,11802
2006,Roberto Clemente,1341117
2006,Ft Niagara,297411
2006,Darien Lakes State Park,58176
2006,Grants Cottage,2488
2006,Planting Fields A,163188
2006,Riverbank Fitness Cntr,37603
2006,Nyack Beach St Pk,184570
2006,Fillmore Glen St Pk,101221
2006,Clarence Fahnestock,193288
2006,Conesus Lake Boat Launch,21903
2006,Oquaga State Park,30229
2006,Sag Harbour,34020
2006,Schoharie Crossing,63680
2006,Durand Eastman,17019
2006,Robert Moses St Pk - Thousand Islands,230637
2006,Gilbert Lake St Pk,79745
2006,Grafton Lakes St Pk,164637
2006,Deans Cove Boat Launch,12929
2006,Riverbank Rollr-Ice Rnks,303315
2006,Coles Creek,107295
2006,Philipse Manor,23779
2006,Springbrook Greens,10085
2006,Bonavista Golf Course,14444
2006,Bear Mountain St Pk,1153122
2006,Buttermilk Falls St Pk,157958
2006,Letchworth State Park,645693
2006,Washington Headquarters,19909
2006,H H Spencer,11752
2006,St Lawrence Golf Course,17579
2006,Burnham Pnt River Park,12283
2006,Mills Norrie St Pk,247359
2006,Beaver Island,325838
2006,John Boyd Thacher Pk,254362
2006,Stony Brook St Pk,113703
2006,Lodi Point Marina/Boat,19377
2006,Beechwood,11334
2006,Highland Lakes,1281
2006,Buffalo Harbor St Pk & Marina,70
2006,Walt Whitman House,16737
2006,Midway State Park,7040
2006,Stony Creek,22245
2006,James Baird,212374
2006,Minekill,65073
2006,Belmont Lakes St Pk,386210
2006,Caleb Smith State Park,26950
2006,Waterson Point Docking,871
2006,Canadarago Boat Lnch,42930
2006,Battle Isl Golf Course,34381
2006,Heckscher St Park,772803
2006,Wehle State Park,27100
2006,Staatsburgh Shs,23182
2006,Canadaigua Btlau Ontrio,46071
2006,Montauk Downs,226045
2006,Lake Taghkanic St Park,158219
2006,Bayard C. A.,128254
2006,Watkins Glen St Pk,384366
2006,Hempstead Lake St Pk,318500
2006,John Burroughs Memorial,891
2006,Sterling Forest,124683
2006,Camp Hero,153480
2006,Minnewaska Park,175302
2006,Lake Welch,275683
2006,Thompson Lake St Pk,51286
2006,Bayswater Point St Pk,3900
2006,Steuben Memorial,4599
2006,John Brown Farm,87760
2006,Buckhorn,34000
2006,Walkway Over The Hudson,0
2006,High Tor St Pk,65881
2006,Honeoye Bt Lau,30408
2006,Mary Island River Park,3421
2006,Big 6 Marina,49836
2006,Tiorati,256816
2006,Tallman Mountain St Pk,292169
2006,Bowman Lake St Pk,43046
2006,Hunts Pond State Park,4487
2006,Hook Mountain,44967
2006,Marsha P. Johnson State Park (former East River State Park until 2020),0
2006,Black Lk Boat Launch,18610
2006,Taughannock Falls St Pk,441203
2006,Cherry Plain St Pk,17008
2006,Lorenzo,48094
2006,Thousand Island Admin.,0
2006,Black River Trail,45579
2006,Hudson Highlands,169780
2006,Hudson River Islands,5729
2006,Blauvelt,22454
2006,Macomb Reservation,29143
2006,Indian Hills Golf Course,0
2006,Braddock Bay,26486
2006,Taconic Outdoor Education Center,17517
2006,Trailview,85589
2006,Stony Point Battlefield,28437
2006,Long Point Marina,144679
2006,Brookhaven State Park,6273
2006,Jacques Cartier St Pk,29003
2006,Mexico Point Boat Launch,24936
2006,Bennington Battlefield,16288
2006,Verona Beach State Park,141367
2006,Higley Flow St Park,32319
2006,Storm King,3045
2006,John Jay Homestead,37617
2006,Bristol Beach,13927
2006,Bethpage Golf Course,774834
2006,Hither Hills,351380
2006,Valley Stream St Pk,170797
2006,Sunken Meadow St Pk,2075540
2006,Brentwood Sp,93450
2006,Irondquoit Bay Boat Lnch,23006
2006,Max V Shaul Campsite,3826
2006,Betty And Wilbur Davis State Park,39435
2006,Long Point St Pk,27170
2006,Long Point River Park,25081
2006,Wellesley Island St Pk,180115
2006,Herkimer Home,26128
2006,Montauk Point,867560
2006,Jones Beach,6548384
2006,New Windsor Cantonment,21340
2006,Harriman Hiker Trail,30402
2006,Keuka Lake St Pk,82082
2006,Whetstone Gulf,49879
2006,National Purple Heart Hall Of Honor,0
2006,Senate House,12310
2006,Chaumont Boat Launch,28714
2006,Caumsett St Pk,279147
2006,Lakeside Beach St Pk,63370
2006,Newtown Battlefield,22733
2006,Napeague State Park,191565
2006,Silver Lake,26110
2006,Joseph Davis St Pk,27521
2006,Allegany Quaker Area,700411
2006,Harriman Group Camp,177387
2006,Wilson Hill Boat Launch,12124
2006,Allegany Red House Area,776633
2006,Keewaydin St Park,52347
2006,Harriman Beaver Pond,61626
2006,Cedar Island River Park,2240
2006,Wildwood State Park,316267
2006,Cedar Pnt River Park,68543
2006,Soaring Eagles Golf Course,32793
2006,Lake Erie St Pk,131730
2006,Kring Point,50868
2006,Shadmore,115220
2006,Anthony Wayne,1291177
2006,Hamlin Beach State Park,247546
2006,Cayuga Lake St Pk,125124
2006,Whirlpool,253260
2006,Lake Superior,16835
2006,Wilson Tuscarora St Pk,229933
2006,Appalachian Trail,2579
2006,Allan Treman Marina,176102
2006,Niagara Reservation,7756133
2006,Woodlawn Beach,142245
2006,Knox Farm Sp,42062
2006,Canoe-Picnic Pnt River,6676
2006,Haverstraw Beach,26743
2006,Southwick Beach St Pk,91062
2006,Athens,25453
2006,Green Lakes State Park,798179
2006,Captree St Pk,1291318
2006,Johnson Hall,61331
2006,Knox Headquarters,22364
2006,Westcott Beach St Pk,111807
2006,Selkirk Shores,159023
2006,Seneca Lake St Pk,116988
2006,Chenango Valley St Pk,207028
2006,Moreau Lake St Pk,267603
2006,Artpark,126528
2007,Allegany Red House Area,800376
2007,Palisades,4048
2007,Kring Point,47947
2007,Lorenzo,42174
2007,Wilson Tuscarora St Pk,218146
2007,Empire Fulton Ferry,377918
2007,Bethpage Golf Course,854275
2007,Allan Treman Marina,153700
2007,Tiorati,232105
2007,F D Roosevelt,532953
2007,Big 6 Marina,43513
2007,Woodlawn Beach,180326
2007,Roberto Clemente,1272589
2007,Crown Point,14633
2007,Point Au Roche Boat Lau,7767
2007,Hudson River Islands,10181
2007,Ft Niagara,285993
2007,Crailo,6186
2007,Darien Lakes State Park,62697
2007,Long Point River Park,26554
2007,Black River Trail,64447
2007,Wilson Hill Boat Launch,10776
2007,Allegany Quaker Area,766206
2007,Keuka Lake St Pk,100887
2007,Trailview,108031
2007,Hunts Pond State Park,5957
2007,Rockefeller Preserve,315870
2007,Rock Island,3707
2007,Peebles Island,78498
2007,Evangola St Pk,99220
2007,Point Au Roche,66206
2007,Knox Headquarters,21855
2007,Reservoir St Pk,85395
2007,Betty And Wilbur Davis State Park,20134
2007,Cumberland Bay St Pk,55319
2007,Black Lk Boat Launch,14316
2007,Ganondagan,37274
2007,Irondquoit Bay Boat Lnch,20849
2007,Indian Hills Golf Course,31325
2007,Knox Farm Sp,86169
2007,Valley Stream St Pk,166400
2007,Thousand Island Admin.,0
2007,Long Point St Pk,29546
2007,Anthony Wayne,722200
2007,Bennington Battlefield,18452
2007,Fort Ontario,102364
2007,Waterson Point Docking,1547
2007,Whetstone Gulf,129354
2007,Pinnacle Golf,29034
2007,Bayswater Point St Pk,4643
2007,Deveaux Woods,28693
2007,Jones Beach,6088941
2007,Lake Welch,265911
2007,Robert H Treman St Pk,171361
2007,Artpark,150581
2007,John Burroughs Memorial,1967
2007,Riverbank Rollr-Ice Rnks,384215
2007,Watkins Glen St Pk,438549
2007,Westcott Beach St Pk,115780
2007,Lake Superior,17426
2007,Bayard C. A.,152796
2007,Fort Montgomery,10818
2007,Lake Taghkanic St Park,170573
2007,Devils Hole,142625
2007,Athens,42035
2007,Wehle State Park,26173
2007,Johnson Hall,60090
2007,Battle Isl Golf Course,30730
2007,John Jay Homestead,32828
2007,Riverbank State Park,2006601
2007,Pixley Falls State Park,12047
2007,Dewolf Point,8588
