Year,Facility,Attendance,LastAttendance
2011,Bayswater Point ,12068,0.0
2010,Bayswater Point ,0,8730.0
2009,Bayswater Point ,8730,1769.0
2008,Bayswater Point ,1769,4643.0
2007,Bayswater Point ,4643,3900.0
2006,Bayswater Point ,3900,3284.0
2005,Bayswater Point ,3284,0.0
2004,Bayswater Point ,9886,12473.0
2003,Bayswater Point ,12473,2201449.0
2020,Bear Mountain ,2201449,2230956.0
2019,Bear Mountain ,2230956,2127572.0
2018,Bear Mountain ,2127572,2059873.0
2017,Bear Mountain ,2059873,2173972.0
2016,Bear Mountain ,2173972,2036795.0
2015,Bear Mountain ,2036795,1894373.0
2014,Bear Mountain ,1894373,1962949.0
2013,Bear Mountain ,1962949,1892931.0
2012,Bear Mountain ,1892931,1851145.0
2011,Bear Mountain ,1851145,1921043.0
2010,Bear Mountain ,1921043,1219591.0
2009,Bear Mountain ,1219591,1003031.0
2008,Bear Mountain ,1003031,1111305.0
2007,Bear Mountain ,1111305,1153122.0
2006,Bear Mountain ,1153122,1252938.0
2005,Bear Mountain ,1252938,0.0
2004,Bear Mountain ,1381240,1045636.0
2003,Bear Mountain ,1045636,340781.0
2020,Beaver Island,340781,306395.0
2019,Beaver Island,306395,337605.0
2018,Beaver Island,337605,330998.0
2017,Beaver Island,330998,335068.0
2016,Beaver Island,335068,305861.0
2015,Beaver Island,305861,276888.0
2014,Beaver Island,276888,270411.0
2013,Beaver Island,270411,298202.0
2012,Beaver Island,298202,279891.0
2011,Beaver Island,279891,291014.0
2010,Beaver Island,291014,304298.0
2009,Beaver Island,304298,289349.0
2008,Beaver Island,289349,323524.0
2007,Beaver Island,323524,325838.0
2006,Beaver Island,325838,316220.0
2005,Beaver Island,316220,0.0
2004,Beaver Island,262568,237101.0
2003,Beaver Island,237101,0.0
2020,Beechwood,0,0.0
2019,Beechwood,0,0.0
2016,Beechwood,0,0.0
2015,Beechwood,0,0.0
2014,Beechwood,0,0.0
2013,Beechwood,0,0.0
2012,Beechwood,0,0.0
2011,Beechwood,0,1206.0
2010,Beechwood,1206,7215.0
2009,Beechwood,7215,11194.0
2008,Beechwood,11194,8874.0
2007,Beechwood,8874,11334.0
2006,Beechwood,11334,9935.0
2005,Beechwood,9935,14546.0
2004,Beechwood,14546,11758.0
2003,Beechwood,11758,0.0
2020,Belmont Lakes ,1305359,908222.0
2019,Belmont Lakes ,908222,858429.0
2018,Belmont Lakes ,858429,840420.0
2017,Belmont Lakes ,840420,840374.0
2016,Belmont Lakes ,840374,653795.0
2015,Belmont Lakes ,653795,578226.0
2014,Belmont Lakes ,578226,616705.0
2013,Belmont Lakes ,616705,526825.0
2012,Belmont Lakes ,526825,452750.0
2011,Belmont Lakes ,452750,482150.0
2010,Belmont Lakes ,482150,405300.0
2009,Belmont Lakes ,405300,377400.0
2008,Belmont Lakes ,377400,394600.0
2007,Belmont Lakes ,394600,386210.0
2006,Belmont Lakes ,386210,387058.0
2005,Belmont Lakes ,387058,308319.0
2004,Belmont Lakes ,308319,292670.0
2003,Belmont Lakes ,292670,0.0
2020,Bennington Battlefield,20563,29859.0
2019,Bennington Battlefield,29859,25950.0
2018,Bennington Battlefield,25950,28323.0
2017,Bennington Battlefield,28323,30589.0
2016,Bennington Battlefield,30589,19232.0
2015,Bennington Battlefield,19232,19408.0
2014,Bennington Battlefield,19408,17883.0
2013,Bennington Battlefield,17883,22993.0
2012,Bennington Battlefield,22993,18076.0
2011,Bennington Battlefield,18076,12339.0
2010,Bennington Battlefield,12339,15498.0
2009,Bennington Battlefield,15498,19161.0
2008,Bennington Battlefield,19161,18452.0
2007,Bennington Battlefield,18452,16288.0
2006,Bennington Battlefield,16288,19411.0
2005,Bennington Battlefield,19411,18990.0
2004,Bennington Battlefield,18990,18983.0
2003,Bennington Battlefield,18983,0.0
2020,Bethpage Golf Course,647118,848486.0
2019,Bethpage Golf Course,848486,719509.0
2018,Bethpage Golf Course,719509,757651.0
2017,Bethpage Golf Course,757651,821888.0
2016,Bethpage Golf Course,821888,764426.0
2015,Bethpage Golf Course,764426,795563.0
2014,Bethpage Golf Course,795563,785057.0
2013,Bethpage Golf Course,785057,819150.0
2012,Bethpage Golf Course,819150,741338.0
2011,Bethpage Golf Course,741338,779740.0
2010,Bethpage Golf Course,779740,1000815.0
2009,Bethpage Golf Course,1000815,833207.0
2008,Bethpage Golf Course,833207,854275.0
2007,Bethpage Golf Course,854275,774834.0
2006,Bethpage Golf Course,774834,864997.0
2005,Bethpage Golf Course,864997,908302.0
2004,Bethpage Golf Course,908302,860104.0
2003,Bethpage Golf Course,860104,0.0
2020,Betty And Wilbur Davis State ,16246,18562.0
2019,Betty And Wilbur Davis State ,18562,31808.0
2018,Betty And Wilbur Davis State ,31808,35624.0
2017,Betty And Wilbur Davis State ,35624,25691.0
2016,Betty And Wilbur Davis State ,25691,16000.0
2015,Betty And Wilbur Davis State ,16000,12271.0
2014,Betty And Wilbur Davis State ,12271,12266.0
2013,Betty And Wilbur Davis State ,12266,13944.0
2012,Betty And Wilbur Davis State ,13944,17790.0
2011,Betty And Wilbur Davis State ,17790,24490.0
2010,Betty And Wilbur Davis State ,24490,22582.0
2009,Betty And Wilbur Davis State ,22582,16090.0
2008,Betty And Wilbur Davis State ,16090,20134.0
2007,Betty And Wilbur Davis State ,20134,39435.0
2006,Betty And Wilbur Davis State ,39435,6592.0
2005,Betty And Wilbur Davis State ,6592,0.0
2004,Betty And Wilbur Davis State ,0,0.0
2003,Betty And Wilbur Davis State ,0,0.0
2020,Big 6 Marina,62368,68118.0
2019,Big 6 Marina,68118,76765.0
2018,Big 6 Marina,76765,75102.0
2017,Big 6 Marina,75102,91542.0
2016,Big 6 Marina,91542,90432.0
2015,Big 6 Marina,90432,75132.0
2014,Big 6 Marina,75132,74477.0
2013,Big 6 Marina,74477,77705.0
2012,Big 6 Marina,77705,66816.0
2011,Big 6 Marina,66816,25958.0
2010,Big 6 Marina,25958,21000.0
2009,Big 6 Marina,21000,49640.0
2008,Big 6 Marina,49640,43513.0
2007,Big 6 Marina,43513,49836.0
2006,Big 6 Marina,49836,41506.0
2005,Big 6 Marina,41506,28515.0
2004,Big 6 Marina,28515,56561.0
2003,Big 6 Marina,56561,0.0
2020,Black Lk Boat Launch,22505,13969.0
2019,Black Lk Boat Launch,13969,29230.0
2018,Black Lk Boat Launch,29230,19865.0
2017,Black Lk Boat Launch,19865,15394.0
2016,Black Lk Boat Launch,15394,8173.0
2015,Black Lk Boat Launch,8173,7793.0
2014,Black Lk Boat Launch,7793,4043.0
2013,Black Lk Boat Launch,4043,6296.0
2012,Black Lk Boat Launch,6296,11817.0
2011,Black Lk Boat Launch,11817,7002.0
2010,Black Lk Boat Launch,7002,7694.0
2009,Black Lk Boat Launch,7694,9236.0
2008,Black Lk Boat Launch,9236,14316.0
2007,Black Lk Boat Launch,14316,18610.0
2006,Black Lk Boat Launch,18610,16724.0
2005,Black Lk Boat Launch,16724,22936.0
2004,Black Lk Boat Launch,22936,7932.0
2003,Black Lk Boat Launch,7932,0.0
2020,Black River Trail,122283,104340.0
2019,Black River Trail,104340,101404.0
2018,Black River Trail,101404,64108.0
2017,Black River Trail,64108,68706.0
2016,Black River Trail,68706,76330.0
2015,Black River Trail,76330,77942.0
2014,Black River Trail,77942,84060.0
2013,Black River Trail,84060,102412.0
2012,Black River Trail,102412,100745.0
2011,Black River Trail,100745,76323.0
2010,Black River Trail,76323,67459.0
2009,Black River Trail,67459,59183.0
2008,Black River Trail,59183,64447.0
2007,Black River Trail,64447,45579.0
2006,Black River Trail,45579,32494.0
2005,Black River Trail,32494,14342.0
2004,Black River Trail,14342,0.0
2003,Black River Trail,0,0.0
2020,Blauvelt,36579,31420.0
2019,Blauvelt,31420,36769.0
2018,Blauvelt,36769,31776.0
2017,Blauvelt,31776,32019.0
2016,Blauvelt,32019,27084.0
2015,Blauvelt,27084,24529.0
2014,Blauvelt,24529,24289.0
2013,Blauvelt,24289,24042.0
2012,Blauvelt,24042,23858.0
2011,Blauvelt,23858,25896.0
2010,Blauvelt,25896,24148.0
2009,Blauvelt,24148,28026.0
2008,Blauvelt,28026,24769.0
2007,Blauvelt,24769,22454.0
2006,Blauvelt,22454,10884.0
2005,Blauvelt,10884,0.0
2004,Blauvelt,0,0.0
2003,Blauvelt,0,0.0
2020,Bonavista Golf Course,1117,3890.0
2019,Bonavista Golf Course,3890,8282.0
2018,Bonavista Golf Course,8282,5088.0
2017,Bonavista Golf Course,5088,0.0
2016,Bonavista Golf Course,0,0.0
2015,Bonavista Golf Course,0,6409.0
2014,Bonavista Golf Course,6409,6732.0
2013,Bonavista Golf Course,6732,5598.0
2012,Bonavista Golf Course,5598,4843.0
2011,Bonavista Golf Course,4843,8.0
2010,Bonavista Golf Course,8,12309.0
2009,Bonavista Golf Course,12309,15582.0
2008,Bonavista Golf Course,15582,16227.0
2007,Bonavista Golf Course,16227,14444.0
2006,Bonavista Golf Course,14444,17101.0
2005,Bonavista Golf Course,17101,14076.0
2004,Bonavista Golf Course,14076,13554.0
2003,Bonavista Golf Course,13554,0.0
2020,Bowman Lake ,69037,75582.0
2019,Bowman Lake ,75582,61881.0
2018,Bowman Lake ,61881,44353.0
2017,Bowman Lake ,44353,50213.0
2016,Bowman Lake ,50213,61220.0
2015,Bowman Lake ,61220,51589.0
2014,Bowman Lake ,51589,63564.0
2013,Bowman Lake ,63564,66974.0
2012,Bowman Lake ,66974,49087.0
2011,Bowman Lake ,49087,41537.0
2010,Bowman Lake ,41537,43768.0
2009,Bowman Lake ,43768,55721.0
2008,Bowman Lake ,55721,45882.0
2007,Bowman Lake ,45882,43046.0
2006,Bowman Lake ,43046,44241.0
2005,Bowman Lake ,44241,41218.0
2004,Bowman Lake ,41218,41846.0
2003,Bowman Lake ,41846,0.0
2020,Braddock Bay,27537,37552.0
2019,Braddock Bay,37552,32587.0
2018,Braddock Bay,32587,28860.0
2017,Braddock Bay,28860,41220.0
2016,Braddock Bay,41220,43339.0
2015,Braddock Bay,43339,39271.0
2014,Braddock Bay,39271,41634.0
2013,Braddock Bay,41634,41661.0
2012,Braddock Bay,41661,40000.0
2011,Braddock Bay,40000,40280.0
2010,Braddock Bay,40280,39561.0
2009,Braddock Bay,39561,34825.0
2008,Braddock Bay,34825,24754.0
2007,Braddock Bay,24754,26486.0
2006,Braddock Bay,26486,29371.0
2005,Braddock Bay,29371,0.0
2004,Braddock Bay,0,0.0
2003,Braddock Bay,0,0.0
2020,Brentwood Sp,750886,690867.0
2019,Brentwood Sp,690867,801603.0
2018,Brentwood Sp,801603,743853.0
2017,Brentwood Sp,743853,978891.0
2016,Brentwood Sp,978891,682686.0
2015,Brentwood Sp,682686,205020.0
2014,Brentwood Sp,205020,325630.0
2013,Brentwood Sp,325630,517900.0
2012,Brentwood Sp,517900,503700.0
2011,Brentwood Sp,503700,285500.0
2010,Brentwood Sp,285500,78150.0
2009,Brentwood Sp,78150,90000.0
2008,Brentwood Sp,90000,99700.0
2007,Brentwood Sp,99700,93450.0
2006,Brentwood Sp,93450,106626.0
2005,Brentwood Sp,106626,107838.0
2004,Brentwood Sp,107838,0.0
2003,Brentwood Sp,0,0.0
2020,Bristol Beach,11610,10319.0
2019,Bristol Beach,10319,8292.0
2018,Bristol Beach,8292,9473.0
2017,Bristol Beach,9473,12705.0
2016,Bristol Beach,12705,11412.0
2015,Bristol Beach,11412,10613.0
2014,Bristol Beach,10613,10552.0
2013,Bristol Beach,10552,12282.0
2012,Bristol Beach,12282,10909.0
2011,Bristol Beach,10909,9160.0
2010,Bristol Beach,9160,17641.0
2009,Bristol Beach,17641,81359.0
2008,Bristol Beach,81359,17753.0
2007,Bristol Beach,17753,13927.0
2006,Bristol Beach,13927,19282.0
2005,Bristol Beach,19282,20116.0
2004,Bristol Beach,20116,19887.0
2003,Bristol Beach,19887,0.0
2020,Brookhaven State ,76601,78316.0
2019,Brookhaven State ,78316,55581.0
2018,Brookhaven State ,55581,36981.0
2017,Brookhaven State ,36981,0.0
2016,Brookhaven State ,0,0.0
2015,Brookhaven State ,0,0.0
2014,Brookhaven State ,0,0.0
2013,Brookhaven State ,0,0.0
2012,Brookhaven State ,0,9722.0
2011,Brookhaven State ,9722,10913.0
2010,Brookhaven State ,10913,6686.0
2009,Brookhaven State ,6686,4875.0
2008,Brookhaven State ,4875,2935.0
2007,Brookhaven State ,2935,6273.0
2006,Brookhaven State ,6273,4376.0
2005,Brookhaven State ,4376,4695.0
2004,Brookhaven State ,4695,0.0
2003,Brookhaven State ,0,0.0
2020,Buckhorn,41006,38894.0
2019,Buckhorn,38894,38934.0
2018,Buckhorn,38934,39370.0
2017,Buckhorn,39370,37970.0
2016,Buckhorn,37970,32950.0
2015,Buckhorn,32950,31905.0
2014,Buckhorn,31905,30995.0
2013,Buckhorn,30995,30470.0
2012,Buckhorn,30470,29220.0
2011,Buckhorn,29220,27775.0
2010,Buckhorn,27775,28680.0
2009,Buckhorn,28680,29300.0
2008,Buckhorn,29300,29039.0
2007,Buckhorn,29039,34000.0
2006,Buckhorn,34000,31095.0
2005,Buckhorn,31095,31896.0
2004,Buckhorn,31896,26515.0
2003,Buckhorn,26515,0.0
2020,Buffalo Harbor  & Marina,283077,261682.0
2019,Buffalo Harbor  & Marina,261682,254678.0
2018,Buffalo Harbor  & Marina,254678,204445.0
2017,Buffalo Harbor  & Marina,204445,240296.0
2016,Buffalo Harbor  & Marina,240296,134254.0
2015,Buffalo Harbor  & Marina,134254,1025.0
2014,Buffalo Harbor  & Marina,1025,0.0
2013,Buffalo Harbor  & Marina,0,0.0
2012,Buffalo Harbor  & Marina,0,0.0
2011,Buffalo Harbor  & Marina,0,0.0
2010,Buffalo Harbor  & Marina,0,0.0
2009,Buffalo Harbor  & Marina,0,0.0
2008,Buffalo Harbor  & Marina,0,0.0
2007,Buffalo Harbor  & Marina,0,70.0
2006,Buffalo Harbor  & Marina,70,0.0
2005,Buffalo Harbor  & Marina,0,0.0
2004,Buffalo Harbor  & Marina,0,0.0
2003,Buffalo Harbor  & Marina,0,0.0
2020,Burnham Pnt River ,14053,12703.0
2019,Burnham Pnt River ,12703,11996.0
2018,Burnham Pnt River ,11996,11519.0
2017,Burnham Pnt River ,11519,11346.0
2016,Burnham Pnt River ,11346,12219.0
2015,Burnham Pnt River ,12219,12249.0
2014,Burnham Pnt River ,12249,13662.0
2013,Burnham Pnt River ,13662,14500.0
2012,Burnham Pnt River ,14500,14101.0
2011,Burnham Pnt River ,14101,13414.0
2010,Burnham Pnt River ,13414,11895.0
2009,Burnham Pnt River ,11895,11826.0
2008,Burnham Pnt River ,11826,11752.0
2007,Burnham Pnt River ,11752,12283.0
2006,Burnham Pnt River ,12283,14143.0
2005,Burnham Pnt River ,14143,12731.0
2004,Burnham Pnt River ,12731,8888.0
2003,Burnham Pnt River ,8888,0.0
2020,Buttermilk Falls ,441386,326156.0
2019,Buttermilk Falls ,326156,304250.0
2018,Buttermilk Falls ,304250,292488.0
2017,Buttermilk Falls ,292488,246249.0
2016,Buttermilk Falls ,246249,241370.0
2015,Buttermilk Falls ,241370,197981.0
2014,Buttermilk Falls ,197981,171936.0
2013,Buttermilk Falls ,171936,158591.0
2012,Buttermilk Falls ,158591,164880.0
2011,Buttermilk Falls ,164880,179393.0
2010,Buttermilk Falls ,179393,182619.0
2009,Buttermilk Falls ,182619,158988.0
2008,Buttermilk Falls ,158988,160037.0
2007,Buttermilk Falls ,160037,157958.0
2006,Buttermilk Falls ,157958,151387.0
2005,Buttermilk Falls ,151387,148914.0
2004,Buttermilk Falls ,148914,162905.0
2003,Buttermilk Falls ,162905,0.0
2020,Caleb Smith State ,128052,69959.0
2019,Caleb Smith State ,69959,56252.0
2018,Caleb Smith State ,56252,39635.0
2017,Caleb Smith State ,39635,38906.0
2016,Caleb Smith State ,38906,31748.0
2015,Caleb Smith State ,31748,27863.0
2014,Caleb Smith State ,27863,27225.0
2013,Caleb Smith State ,27225,24987.0
2012,Caleb Smith State ,24987,26264.0
2011,Caleb Smith State ,26264,25936.0
2010,Caleb Smith State ,25936,30690.0
2009,Caleb Smith State ,30690,31026.0
2008,Caleb Smith State ,31026,27595.0
2007,Caleb Smith State ,27595,26950.0
2006,Caleb Smith State ,26950,32942.0
2005,Caleb Smith State ,32942,33849.0
2004,Caleb Smith State ,33849,31716.0
2003,Caleb Smith State ,31716,0.0
2020,Camp Hero,397156,286671.0
2019,Camp Hero,286671,257965.0
2018,Camp Hero,257965,305207.0
2017,Camp Hero,305207,172560.0
2016,Camp Hero,172560,107555.0
2015,Camp Hero,107555,114995.0
2014,Camp Hero,114995,103255.0
2013,Camp Hero,103255,121585.0
2012,Camp Hero,121585,123210.0
2011,Camp Hero,123210,137945.0
2010,Camp Hero,137945,182625.0
2009,Camp Hero,182625,178750.0
2008,Camp Hero,178750,171735.0
2007,Camp Hero,171735,153480.0
2006,Camp Hero,153480,131990.0
2005,Camp Hero,131990,135274.0
2004,Camp Hero,135274,126985.0
2003,Camp Hero,126985,0.0
2020,Canadaigua Btlau Ontrio,53976,42005.0
2019,Canadaigua Btlau Ontrio,42005,47850.0
2018,Canadaigua Btlau Ontrio,47850,47525.0
2017,Canadaigua Btlau Ontrio,47525,44831.0
2016,Canadaigua Btlau Ontrio,44831,36761.0
2015,Canadaigua Btlau Ontrio,36761,43746.0
2014,Canadaigua Btlau Ontrio,43746,33987.0
2013,Canadaigua Btlau Ontrio,33987,36623.0
2012,Canadaigua Btlau Ontrio,36623,40029.0
2011,Canadaigua Btlau Ontrio,40029,47319.0
2010,Canadaigua Btlau Ontrio,47319,38843.0
2009,Canadaigua Btlau Ontrio,38843,45421.0
2008,Canadaigua Btlau Ontrio,45421,50008.0
2007,Canadaigua Btlau Ontrio,50008,46071.0
2006,Canadaigua Btlau Ontrio,46071,42478.0
2005,Canadaigua Btlau Ontrio,42478,39674.0
2004,Canadaigua Btlau Ontrio,39674,49894.0
2003,Canadaigua Btlau Ontrio,49894,0.0
2020,Canadarago Boat Lnch,24069,17129.0
2019,Canadarago Boat Lnch,17129,17048.0
2018,Canadarago Boat Lnch,17048,17206.0
2017,Canadarago Boat Lnch,17206,19461.0
2016,Canadarago Boat Lnch,19461,25325.0
2015,Canadarago Boat Lnch,25325,23045.0
2014,Canadarago Boat Lnch,23045,20674.0
2013,Canadarago Boat Lnch,20674,22289.0
2012,Canadarago Boat Lnch,22289,22209.0
2011,Canadarago Boat Lnch,22209,19745.0
2010,Canadarago Boat Lnch,19745,22927.0
2009,Canadarago Boat Lnch,22927,19999.0
2008,Canadarago Boat Lnch,19999,26562.0
2007,Canadarago Boat Lnch,26562,42930.0
2006,Canadarago Boat Lnch,42930,31280.0
2005,Canadarago Boat Lnch,31280,28639.0
2004,Canadarago Boat Lnch,28639,29158.0
2003,Canadarago Boat Lnch,29158,0.0
2020,Canoe-Picnic Pnt River,8143,8744.0
2019,Canoe-Picnic Pnt River,8744,9338.0
2018,Canoe-Picnic Pnt River,9338,8540.0
2017,Canoe-Picnic Pnt River,8540,6686.0
2016,Canoe-Picnic Pnt River,6686,8723.0
2015,Canoe-Picnic Pnt River,8723,7221.0
2014,Canoe-Picnic Pnt River,7221,7588.0
2013,Canoe-Picnic Pnt River,7588,10164.0
2012,Canoe-Picnic Pnt River,10164,9497.0
2011,Canoe-Picnic Pnt River,9497,6440.0
2010,Canoe-Picnic Pnt River,6440,7159.0
2009,Canoe-Picnic Pnt River,7159,8762.0
2008,Canoe-Picnic Pnt River,8762,7540.0
2007,Canoe-Picnic Pnt River,7540,6676.0
2006,Canoe-Picnic Pnt River,6676,7783.0
2005,Canoe-Picnic Pnt River,7783,13709.0
2004,Canoe-Picnic Pnt River,13709,8835.0
2003,Canoe-Picnic Pnt River,8835,0.0
2020,Captree ,1874492,1369277.0
2019,Captree ,1369277,1123681.0
2018,Captree ,1123681,1309053.0
2017,Captree ,1309053,1416791.0
2016,Captree ,1416791,1170881.0
2015,Captree ,1170881,1124776.0
2014,Captree ,1124776,1197621.0
2013,Captree ,1197621,1172952.0
2012,Captree ,1172952,1027378.0
2011,Captree ,1027378,1180972.0
2010,Captree ,1180972,1206441.0
2009,Captree ,1206441,1145106.0
2008,Captree ,1145106,1270892.0
2007,Captree ,1270892,1291318.0
2006,Captree ,1291318,1336222.0
2005,Captree ,1336222,1456140.0
2004,Captree ,1456140,2001188.0
2003,Captree ,2001188,0.0
2020,Caumsett ,914065,523476.0
2019,Caumsett ,523476,505155.0
2018,Caumsett ,505155,440201.0
2017,Caumsett ,440201,457105.0
2016,Caumsett ,457105,467506.0
2015,Caumsett ,467506,460254.0
2014,Caumsett ,460254,419887.0
2013,Caumsett ,419887,402629.0
2012,Caumsett ,402629,404727.0
2011,Caumsett ,404727,408431.0
2010,Caumsett ,408431,369890.0
2009,Caumsett ,369890,330378.0
2008,Caumsett ,330378,359194.0
2007,Caumsett ,359194,279147.0
2006,Caumsett ,279147,262707.0
2005,Caumsett ,262707,307661.0
2004,Caumsett ,307661,318412.0
2003,Caumsett ,318412,0.0
2020,Cayuga Lake ,189991,167289.0
2019,Cayuga Lake ,167289,167862.0
2018,Cayuga Lake ,167862,154293.0
2017,Cayuga Lake ,154293,151156.0
2016,Cayuga Lake ,151156,143384.0
2015,Cayuga Lake ,143384,129415.0
2014,Cayuga Lake ,129415,131723.0
2013,Cayuga Lake ,131723,140311.0
2012,Cayuga Lake ,140311,123112.0
2011,Cayuga Lake ,123112,127860.0
2010,Cayuga Lake ,127860,131391.0
2009,Cayuga Lake ,131391,154610.0
2008,Cayuga Lake ,154610,171363.0
2007,Cayuga Lake ,171363,125124.0
2006,Cayuga Lake ,125124,133516.0
2005,Cayuga Lake ,133516,150499.0
2004,Cayuga Lake ,150499,146702.0
2003,Cayuga Lake ,146702,0.0
2020,Cedar Island River ,1873,2126.0
2019,Cedar Island River ,2126,1619.0
2018,Cedar Island River ,1619,1576.0
2017,Cedar Island River ,1576,1781.0
2016,Cedar Island River ,1781,1862.0
2015,Cedar Island River ,1862,1928.0
2014,Cedar Island River ,1928,2125.0
2013,Cedar Island River ,2125,2378.0
2012,Cedar Island River ,2378,2074.0
2011,Cedar Island River ,2074,1728.0
2010,Cedar Island River ,1728,2649.0
2009,Cedar Island River ,2649,1700.0
2008,Cedar Island River ,1700,1635.0
2007,Cedar Island River ,1635,2240.0
2006,Cedar Island River ,2240,1940.0
2005,Cedar Island River ,1940,2633.0
2004,Cedar Island River ,2633,2799.0
2003,Cedar Island River ,2799,0.0
2020,Cedar Pnt River ,72472,72059.0
2019,Cedar Pnt River ,72059,82941.0
2018,Cedar Pnt River ,82941,68284.0
2017,Cedar Pnt River ,68284,65584.0
2016,Cedar Pnt River ,65584,80670.0
2015,Cedar Pnt River ,80670,72601.0
2014,Cedar Pnt River ,72601,76809.0
2013,Cedar Pnt River ,76809,80928.0
2012,Cedar Pnt River ,80928,67931.0
2011,Cedar Pnt River ,67931,69894.0
2010,Cedar Pnt River ,69894,68376.0
2009,Cedar Pnt River ,68376,64354.0
2008,Cedar Pnt River ,64354,73080.0
2007,Cedar Pnt River ,73080,68543.0
2006,Cedar Pnt River ,68543,68438.0
2005,Cedar Pnt River ,68438,54019.0
2004,Cedar Pnt River ,54019,54952.0
2003,Cedar Pnt River ,54952,0.0
2020,Chaumont Boat Launch,33299,38766.0
2019,Chaumont Boat Launch,38766,40869.0
2018,Chaumont Boat Launch,40869,32014.0
2017,Chaumont Boat Launch,32014,46875.0
2016,Chaumont Boat Launch,46875,53399.0
2015,Chaumont Boat Launch,53399,47549.0
2014,Chaumont Boat Launch,47549,47791.0
2013,Chaumont Boat Launch,47791,44361.0
2012,Chaumont Boat Launch,44361,41958.0
2011,Chaumont Boat Launch,41958,40971.0
2010,Chaumont Boat Launch,40971,39875.0
2009,Chaumont Boat Launch,39875,32415.0
2008,Chaumont Boat Launch,32415,33315.0
2007,Chaumont Boat Launch,33315,28714.0
2006,Chaumont Boat Launch,28714,25893.0
2005,Chaumont Boat Launch,25893,18336.0
2004,Chaumont Boat Launch,18336,19606.0
2003,Chaumont Boat Launch,19606,0.0
2020,Chenango Valley ,208114,214454.0
2019,Chenango Valley ,214454,218281.0
2018,Chenango Valley ,218281,191550.0
2017,Chenango Valley ,191550,198082.0
2016,Chenango Valley ,198082,173758.0
2015,Chenango Valley ,173758,173960.0
2014,Chenango Valley ,173960,175187.0
2013,Chenango Valley ,175187,170877.0
2012,Chenango Valley ,170877,165728.0
2011,Chenango Valley ,165728,176141.0
2010,Chenango Valley ,176141,176323.0
2009,Chenango Valley ,176323,175587.0
2008,Chenango Valley ,175587,242138.0
2007,Chenango Valley ,242138,207028.0
2006,Chenango Valley ,207028,213353.0
2005,Chenango Valley ,213353,214121.0
2004,Chenango Valley ,214121,230349.0
2003,Chenango Valley ,230349,0.0
2020,Cherry Plain ,29220,23790.0
2019,Cherry Plain ,23790,23758.0
2018,Cherry Plain ,23758,23438.0
2017,Cherry Plain ,23438,14609.0
2016,Cherry Plain ,14609,22877.0
2015,Cherry Plain ,22877,23250.0
2014,Cherry Plain ,23250,27640.0
2013,Cherry Plain ,27640,37148.0
2012,Cherry Plain ,37148,26442.0
2011,Cherry Plain ,26442,24775.0
2010,Cherry Plain ,24775,27155.0
2009,Cherry Plain ,27155,29164.0
2008,Cherry Plain ,29164,25956.0
2007,Cherry Plain ,25956,17008.0
2006,Cherry Plain ,17008,26685.0
2005,Cherry Plain ,26685,16571.0
2004,Cherry Plain ,16571,18814.0
2003,Cherry Plain ,18814,0.0
2020,Chimney Bluffs,101612,80599.0
2019,Chimney Bluffs,80599,71221.0
2018,Chimney Bluffs,71221,99100.0
2017,Chimney Bluffs,99100,84623.0
2016,Chimney Bluffs,84623,97099.0
2015,Chimney Bluffs,97099,117811.0
2014,Chimney Bluffs,117811,122764.0
2013,Chimney Bluffs,122764,151880.0
2012,Chimney Bluffs,151880,117802.0
2011,Chimney Bluffs,117802,109184.0
2010,Chimney Bluffs,109184,84182.0
2009,Chimney Bluffs,84182,74254.0
2008,Chimney Bluffs,74254,81609.0
2007,Chimney Bluffs,81609,66686.0
2006,Chimney Bluffs,66686,54024.0
2005,Chimney Bluffs,54024,35737.0
2004,Chimney Bluffs,35737,35184.0
2003,Chimney Bluffs,35184,0.0
2020,Chittenango Fls ,357519,194257.0
2019,Chittenango Fls ,194257,115175.0
2018,Chittenango Fls ,115175,103342.0
2017,Chittenango Fls ,103342,75837.0
2016,Chittenango Fls ,75837,54712.0
2015,Chittenango Fls ,54712,46988.0
2014,Chittenango Fls ,46988,38859.0
2013,Chittenango Fls ,38859,36928.0
2012,Chittenango Fls ,36928,40639.0
2011,Chittenango Fls ,40639,37852.0
2010,Chittenango Fls ,37852,47258.0
2009,Chittenango Fls ,47258,40234.0
2008,Chittenango Fls ,40234,42210.0
2007,Chittenango Fls ,42210,41117.0
2006,Chittenango Fls ,41117,41747.0
2005,Chittenango Fls ,41747,46834.0
2004,Chittenango Fls ,46834,43945.0
2003,Chittenango Fls ,43945,0.0
2016,Chittengo Lndg,0,0.0
2015,Chittengo Lndg,0,0.0
2014,Chittengo Lndg,0,0.0
2013,Chittengo Lndg,0,0.0
2012,Chittengo Lndg,0,0.0
2011,Chittengo Lndg,0,0.0
2010,Chittengo Lndg,0,0.0
2009,Chittengo Lndg,0,0.0
2008,Chittengo Lndg,0,0.0
2007,Chittengo Lndg,0,0.0
2006,Chittengo Lndg,0,392.0
2005,Chittengo Lndg,392,4761.0
2004,Chittengo Lndg,4761,4362.0
2003,Chittengo Lndg,4362,325021.0
2020,Clarence Fahnestock,325021,312606.0
2019,Clarence Fahnestock,312606,266258.0
2018,Clarence Fahnestock,266258,302634.0
2017,Clarence Fahnestock,302634,0.0
